Datetime (UTC),Datetime (Local),Price (USD/MWh)
2024-01-01 00:00:00+00:00,2024-01-01 01:00:00+01:00,61.112964399999996
2024-01-01 01:00:00+00:00,2024-01-01 02:00:00+01:00,52.5834438
2024-01-01 02:00:00+00:00,2024-01-01 03:00:00+01:00,49.032619999999994
2024-01-01 03:00:00+00:00,2024-01-01 04:00:00+01:00,46.338519999999995
2024-01-01 04:00:00+00:00,2024-01-01 05:00:00+01:00,45.5787838
2024-01-01 05:00:00+00:00,2024-01-01 06:00:00+01:00,45.5787838
2024-01-01 06:00:00+00:00,2024-01-01 07:00:00+01:00,45.8481938
2024-01-01 07:00:00+00:00,2024-01-01 08:00:00+01:00,46.31696719999999
2024-01-01 08:00:00+00:00,2024-01-01 09:00:00+01:00,46.155321199999996
2024-01-01 09:00:00+00:00,2024-01-01 10:00:00+01:00,36.2571978
2024-01-01 10:00:00+00:00,2024-01-01 11:00:00+01:00,15.571898
2024-01-01 11:00:00+00:00,2024-01-01 12:00:00+01:00,3.8256219999999996
2024-01-01 12:00:00+00:00,2024-01-01 13:00:00+01:00,2.8341931999999996
2024-01-01 13:00:00+00:00,2024-01-01 14:00:00+01:00,2.0421278
2024-01-01 14:00:00+00:00,2024-01-01 15:00:00+01:00,4.014208999999999
2024-01-01 15:00:00+00:00,2024-01-01 16:00:00+01:00,13.044832199999998
2024-01-01 16:00:00+00:00,2024-01-01 17:00:00+01:00,29.899121799999996
2024-01-01 17:00:00+00:00,2024-01-01 18:00:00+01:00,45.530289999999994
2024-01-01 18:00:00+00:00,2024-01-01 19:00:00+01:00,55.2128854
2024-01-01 19:00:00+00:00,2024-01-01 20:00:00+01:00,62.4330734
2024-01-01 20:00:00+00:00,2024-01-01 21:00:00+01:00,65.143338
2024-01-01 21:00:00+00:00,2024-01-01 22:00:00+01:00,57.92315
2024-01-01 22:00:00+00:00,2024-01-01 23:00:00+01:00,48.2728838
2024-01-01 23:00:00+00:00,2024-01-02 00:00:00+01:00,43.046329799999995
2024-01-02 00:00:00+00:00,2024-01-02 01:00:00+01:00,33.83789599999999
2024-01-02 01:00:00+00:00,2024-01-02 02:00:00+01:00,15.6203918
2024-01-02 02:00:00+00:00,2024-01-02 03:00:00+01:00,9.6933718
2024-01-02 03:00:00+00:00,2024-01-02 04:00:00+01:00,12.93168
2024-01-02 04:00:00+00:00,2024-01-02 05:00:00+01:00,13.2226428
2024-01-02 05:00:00+00:00,2024-01-02 06:00:00+01:00,27.388220599999997
2024-01-02 06:00:00+00:00,2024-01-02 07:00:00+01:00,43.6390318
2024-01-02 07:00:00+00:00,2024-01-02 08:00:00+01:00,53.0629936
2024-01-02 08:00:00+00:00,2024-01-02 09:00:00+01:00,58.1979482
2024-01-02 09:00:00+00:00,2024-01-02 10:00:00+01:00,56.161208599999995
2024-01-02 10:00:00+00:00,2024-01-02 11:00:00+01:00,55.067403999999996
2024-01-02 11:00:00+00:00,2024-01-02 12:00:00+01:00,52.373304000000005
2024-01-02 12:00:00+00:00,2024-01-02 13:00:00+01:00,47.41616
2024-01-02 13:00:00+00:00,2024-01-02 14:00:00+01:00,46.338519999999995
2024-01-02 14:00:00+00:00,2024-01-02 15:00:00+01:00,45.2554918
2024-01-02 15:00:00+00:00,2024-01-02 16:00:00+01:00,45.611112999999996
2024-01-02 16:00:00+00:00,2024-01-02 17:00:00+01:00,51.6512852
2024-01-02 17:00:00+00:00,2024-01-02 18:00:00+01:00,59.2540354
2024-01-02 18:00:00+00:00,2024-01-02 19:00:00+01:00,64.7769404
2024-01-02 19:00:00+00:00,2024-01-02 20:00:00+01:00,64.900869
2024-01-02 20:00:00+00:00,2024-01-02 21:00:00+01:00,59.7174206
2024-01-02 21:00:00+00:00,2024-01-02 22:00:00+01:00,53.39167379999999
2024-01-02 22:00:00+00:00,2024-01-02 23:00:00+01:00,46.5324952
2024-01-02 23:00:00+00:00,2024-01-03 00:00:00+01:00,25.270657999999997
2024-01-03 00:00:00+00:00,2024-01-03 01:00:00+01:00,5.388199999999999
2024-01-03 01:00:00+00:00,2024-01-03 02:00:00+01:00,3.448448
2024-01-03 02:00:00+00:00,2024-01-03 03:00:00+01:00,3.448448
2024-01-03 03:00:00+00:00,2024-01-03 04:00:00+01:00,3.448448
2024-01-03 04:00:00+00:00,2024-01-03 05:00:00+01:00,2.9150162
2024-01-03 05:00:00+00:00,2024-01-03 06:00:00+01:00,3.7663518000000002
2024-01-03 06:00:00+00:00,2024-01-03 07:00:00+01:00,27.048764
2024-01-03 07:00:00+00:00,2024-01-03 08:00:00+01:00,57.8369388
2024-01-03 08:00:00+00:00,2024-01-03 09:00:00+01:00,69.46467439999999
2024-01-03 09:00:00+00:00,2024-01-03 10:00:00+01:00,70.369892
2024-01-03 10:00:00+00:00,2024-01-03 11:00:00+01:00,65.035574
2024-01-03 11:00:00+00:00,2024-01-03 12:00:00+01:00,60.40172199999999
2024-01-03 12:00:00+00:00,2024-01-03 13:00:00+01:00,59.49650439999999
2024-01-03 13:00:00+00:00,2024-01-03 14:00:00+01:00,62.7294244
2024-01-03 14:00:00+00:00,2024-01-03 15:00:00+01:00,68.44630459999999
2024-01-03 15:00:00+00:00,2024-01-03 16:00:00+01:00,71.95941099999999
2024-01-03 16:00:00+00:00,2024-01-03 17:00:00+01:00,84.64323379999999
2024-01-03 17:00:00+00:00,2024-01-03 18:00:00+01:00,99.01895139999999
2024-01-03 18:00:00+00:00,2024-01-03 19:00:00+01:00,106.982711
2024-01-03 19:00:00+00:00,2024-01-03 20:00:00+01:00,117.2526202
2024-01-03 20:00:00+00:00,2024-01-03 21:00:00+01:00,122.0535064
2024-01-03 21:00:00+00:00,2024-01-03 22:00:00+01:00,111.7835972
2024-01-03 22:00:00+00:00,2024-01-03 23:00:00+01:00,97.4078796
2024-01-03 23:00:00+00:00,2024-01-04 00:00:00+01:00,95.3549754
2024-01-04 00:00:00+00:00,2024-01-04 01:00:00+01:00,95.5812798
2024-01-04 01:00:00+00:00,2024-01-04 02:00:00+01:00,90.09609219999999
2024-01-04 02:00:00+00:00,2024-01-04 03:00:00+01:00,80.9900342
2024-01-04 03:00:00+00:00,2024-01-04 04:00:00+01:00,73.79678719999998
2024-01-04 04:00:00+00:00,2024-01-04 05:00:00+01:00,72.7407
2024-01-04 05:00:00+00:00,2024-01-04 06:00:00+01:00,83.45244159999999
2024-01-04 06:00:00+00:00,2024-01-04 07:00:00+01:00,97.661125
2024-01-04 07:00:00+00:00,2024-01-04 08:00:00+01:00,102.65059819999999
2024-01-04 08:00:00+00:00,2024-01-04 09:00:00+01:00,104.60112659999999
2024-01-04 09:00:00+00:00,2024-01-04 10:00:00+01:00,104.0623066
2024-01-04 10:00:00+00:00,2024-01-04 11:00:00+01:00,99.87028699999999
