Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Great Britain,Great Britain,GB,61.34,96.44,85.53,62.7, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 01:00:00,Great Britain,Great Britain,GB,59.96,94.21,85.85,63.32, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 02:00:00,Great Britain,Great Britain,GB,65.7,101.78,84.35,63.63, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 03:00:00,Great Britain,Great Britain,GB,63.95,99.13,85.02,64.04, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 04:00:00,Great Britain,Great Britain,GB,58.48,92.14,86.27,65.41, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 05:00:00,Great Britain,Great Britain,GB,56.68,89.82,86.9,66.06, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 06:00:00,Great Britain,Great Britain,GB,60.15,94.0,86.32,64.74, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 07:00:00,Great Britain,Great Britain,GB,60.12,93.88,86.45,64.67, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 08:00:00,Great Britain,Great Britain,GB,51.49,85.18,88.08,66.03, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 09:00:00,Great Britain,Great Britain,GB,40.85,74.48,90.31,70.18, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 10:00:00,Great Britain,Great Britain,GB,41.71,77.06,90.08,70.58, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 11:00:00,Great Britain,Great Britain,GB,51.45,91.67,87.33,68.36, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 12:00:00,Great Britain,Great Britain,GB,69.54,115.46,82.54,63.45, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 13:00:00,Great Britain,Great Britain,GB,88.52,140.09,77.4,57.66, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 14:00:00,Great Britain,Great Britain,GB,103.18,160.21,73.4,52.52, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 15:00:00,Great Britain,Great Britain,GB,105.42,163.9,72.77,51.43, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 16:00:00,Great Britain,Great Britain,GB,107.67,168.2,72.43,51.94, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 17:00:00,Great Britain,Great Britain,GB,108.05,168.32,72.79,52.97, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 18:00:00,Great Britain,Great Britain,GB,96.73,153.86,75.69,55.64, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 19:00:00,Great Britain,Great Britain,GB,74.71,124.87,81.16,60.16, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 20:00:00,Great Britain,Great Britain,GB,53.74,95.81,86.28,64.16, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 21:00:00,Great Britain,Great Britain,GB,39.73,74.82,89.96,67.69, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 22:00:00,Great Britain,Great Britain,GB,39.84,69.94,90.04,69.02, nationalgrideso.com; elexon.co.uk,false,
2024-01-01 23:00:00,Great Britain,Great Britain,GB,45.66,75.87,89.2,69.91, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 00:00:00,Great Britain,Great Britain,GB,47.85,78.46,88.67,70.2, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 01:00:00,Great Britain,Great Britain,GB,53.49,85.74,87.46,69.05, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 02:00:00,Great Britain,Great Britain,GB,53.15,85.06,87.69,68.45, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 03:00:00,Great Britain,Great Britain,GB,55.18,87.87,87.19,67.26, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 04:00:00,Great Britain,Great Britain,GB,57.89,91.34,86.61,66.63, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 05:00:00,Great Britain,Great Britain,GB,62.82,97.87,85.46,64.89, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 06:00:00,Great Britain,Great Britain,GB,70.93,108.43,83.03,61.58, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 07:00:00,Great Britain,Great Britain,GB,89.08,135.15,78.1,56.98, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 08:00:00,Great Britain,Great Britain,GB,95.34,145.91,76.43,56.06, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 09:00:00,Great Britain,Great Britain,GB,103.99,159.86,73.55,55.6, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 10:00:00,Great Britain,Great Britain,GB,116.91,177.77,69.59,52.27, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 11:00:00,Great Britain,Great Britain,GB,125.95,190.21,67.05,50.5, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 12:00:00,Great Britain,Great Britain,GB,128.38,193.01,66.51,49.92, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 13:00:00,Great Britain,Great Britain,GB,130.72,196.57,65.68,49.01, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 14:00:00,Great Britain,Great Britain,GB,131.43,197.46,65.19,48.24, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 15:00:00,Great Britain,Great Britain,GB,126.59,190.97,66.58,49.4, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 16:00:00,Great Britain,Great Britain,GB,132.57,198.85,65.24,47.67, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 17:00:00,Great Britain,Great Britain,GB,134.62,200.16,65.43,48.61, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 18:00:00,Great Britain,Great Britain,GB,126.92,190.39,67.37,50.32, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 19:00:00,Great Britain,Great Britain,GB,117.77,179.63,69.48,51.24, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 20:00:00,Great Britain,Great Britain,GB,102.39,160.44,73.6,54.23, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 21:00:00,Great Britain,Great Britain,GB,86.32,140.6,77.95,57.42, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 22:00:00,Great Britain,Great Britain,GB,67.21,113.39,83.41,61.37, nationalgrideso.com; elexon.co.uk,false,
2024-01-02 23:00:00,Great Britain,Great Britain,GB,67.36,102.27,84.22,60.38, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 00:00:00,Great Britain,Great Britain,GB,66.41,101.25,84.62,60.39, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 01:00:00,Great Britain,Great Britain,GB,65.34,99.81,85.05,59.75, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 02:00:00,Great Britain,Great Britain,GB,68.73,104.19,84.07,58.24, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 03:00:00,Great Britain,Great Britain,GB,74.94,112.16,82.26,56.3, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 04:00:00,Great Britain,Great Britain,GB,77.48,115.72,81.54,55.95, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 05:00:00,Great Britain,Great Britain,GB,78.11,116.39,81.38,56.67, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 06:00:00,Great Britain,Great Britain,GB,84.32,128.59,79.61,55.93, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 07:00:00,Great Britain,Great Britain,GB,108.55,166.02,72.5,51.32, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 08:00:00,Great Britain,Great Britain,GB,121.46,183.3,68.67,49.85, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 09:00:00,Great Britain,Great Britain,GB,128.14,192.28,66.83,49.27, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 10:00:00,Great Britain,Great Britain,GB,126.27,190.3,67.33,50.52, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 11:00:00,Great Britain,Great Britain,GB,129.89,194.95,66.11,49.52, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 12:00:00,Great Britain,Great Britain,GB,133.37,200.42,65.17,48.86, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 13:00:00,Great Britain,Great Britain,GB,137.7,206.63,63.68,46.97, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 14:00:00,Great Britain,Great Britain,GB,145.01,215.47,61.53,44.31, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 15:00:00,Great Britain,Great Britain,GB,151.17,222.31,59.94,42.92, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 16:00:00,Great Britain,Great Britain,GB,158.74,231.47,58.46,41.74, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 17:00:00,Great Britain,Great Britain,GB,162.25,235.53,57.74,41.48, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 18:00:00,Great Britain,Great Britain,GB,162.61,236.05,57.53,41.25, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 19:00:00,Great Britain,Great Britain,GB,157.14,229.83,58.49,40.78, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 20:00:00,Great Britain,Great Britain,GB,143.35,213.4,62.16,42.97, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 21:00:00,Great Britain,Great Britain,GB,125.23,191.67,67.21,46.49, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 22:00:00,Great Britain,Great Britain,GB,113.2,175.94,70.8,48.61, nationalgrideso.com; elexon.co.uk,false,
2024-01-03 23:00:00,Great Britain,Great Britain,GB,100.38,160.42,74.96,52.65, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 00:00:00,Great Britain,Great Britain,GB,99.08,158.82,75.94,53.51, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 01:00:00,Great Britain,Great Britain,GB,87.84,146.67,78.04,54.9, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 02:00:00,Great Britain,Great Britain,GB,82.28,137.89,80.0,56.23, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 03:00:00,Great Britain,Great Britain,GB,74.95,129.61,81.78,57.23, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 04:00:00,Great Britain,Great Britain,GB,80.12,136.79,80.47,55.75, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 05:00:00,Great Britain,Great Britain,GB,83.28,140.69,79.46,55.42, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 06:00:00,Great Britain,Great Britain,GB,104.62,164.01,73.71,51.84, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 07:00:00,Great Britain,Great Britain,GB,171.86,249.97,55.16,39.46, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 08:00:00,Great Britain,Great Britain,GB,185.8,265.9,51.64,36.99, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 09:00:00,Great Britain,Great Britain,GB,178.72,257.14,53.64,39.59, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 10:00:00,Great Britain,Great Britain,GB,173.43,251.11,54.88,40.62, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 11:00:00,Great Britain,Great Britain,GB,176.14,254.56,54.44,39.14, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 12:00:00,Great Britain,Great Britain,GB,189.34,270.77,51.25,35.46, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 13:00:00,Great Britain,Great Britain,GB,203.03,287.68,47.94,31.5, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 14:00:00,Great Britain,Great Britain,GB,216.76,303.86,44.53,27.69, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 15:00:00,Great Britain,Great Britain,GB,217.07,304.68,44.27,27.49, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 16:00:00,Great Britain,Great Britain,GB,227.18,315.75,42.74,26.58, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 17:00:00,Great Britain,Great Britain,GB,234.31,322.74,41.77,26.05, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 18:00:00,Great Britain,Great Britain,GB,226.94,313.65,43.01,27.35, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 19:00:00,Great Britain,Great Britain,GB,216.98,302.21,44.68,27.86, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 20:00:00,Great Britain,Great Britain,GB,204.36,288.72,46.81,28.75, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 21:00:00,Great Britain,Great Britain,GB,184.38,265.6,51.35,32.13, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 22:00:00,Great Britain,Great Britain,GB,169.63,247.68,55.57,34.66, nationalgrideso.com; elexon.co.uk,false,
2024-01-04 23:00:00,Great Britain,Great Britain,GB,140.63,212.86,63.16,39.45, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 00:00:00,Great Britain,Great Britain,GB,124.06,193.09,67.41,43.55, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 01:00:00,Great Britain,Great Britain,GB,127.18,197.3,66.39,43.31, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 02:00:00,Great Britain,Great Britain,GB,127.77,198.3,66.11,43.59, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 03:00:00,Great Britain,Great Britain,GB,117.8,185.92,68.82,45.68, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 04:00:00,Great Britain,Great Britain,GB,111.92,178.92,70.32,45.9, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 05:00:00,Great Britain,Great Britain,GB,106.72,173.05,71.77,47.36, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 06:00:00,Great Britain,Great Britain,GB,130.38,200.6,65.26,45.3, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 07:00:00,Great Britain,Great Britain,GB,171.69,250.0,53.94,38.93, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 08:00:00,Great Britain,Great Britain,GB,175.38,253.15,53.15,37.82, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 09:00:00,Great Britain,Great Britain,GB,170.33,246.07,54.88,39.99, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 10:00:00,Great Britain,Great Britain,GB,169.5,245.21,55.21,40.74, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 11:00:00,Great Britain,Great Britain,GB,158.03,230.92,58.15,43.65, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 12:00:00,Great Britain,Great Britain,GB,154.46,226.23,59.12,44.84, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 13:00:00,Great Britain,Great Britain,GB,158.43,231.24,57.91,43.64, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 14:00:00,Great Britain,Great Britain,GB,166.33,241.59,55.7,41.68, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 15:00:00,Great Britain,Great Britain,GB,166.69,241.41,55.63,39.56, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 16:00:00,Great Britain,Great Britain,GB,175.72,252.55,54.11,38.62, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 17:00:00,Great Britain,Great Britain,GB,179.75,257.06,53.65,38.76, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 18:00:00,Great Britain,Great Britain,GB,176.55,253.09,54.11,38.54, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 19:00:00,Great Britain,Great Britain,GB,176.64,253.48,53.91,37.14, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 20:00:00,Great Britain,Great Britain,GB,171.77,248.82,54.66,36.55, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 21:00:00,Great Britain,Great Britain,GB,159.85,235.16,57.86,38.21, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 22:00:00,Great Britain,Great Britain,GB,150.96,224.68,60.4,39.18, nationalgrideso.com; elexon.co.uk,false,
2024-01-05 23:00:00,Great Britain,Great Britain,GB,128.67,195.89,67.88,43.6, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 00:00:00,Great Britain,Great Britain,GB,108.41,170.77,73.48,46.91, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 01:00:00,Great Britain,Great Britain,GB,104.53,166.49,74.41,47.37, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 02:00:00,Great Britain,Great Britain,GB,99.33,160.19,75.79,48.36, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 03:00:00,Great Britain,Great Britain,GB,99.95,159.82,75.76,48.19, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 04:00:00,Great Britain,Great Britain,GB,107.41,163.78,73.88,45.67, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 05:00:00,Great Britain,Great Britain,GB,115.8,175.24,71.29,43.97, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 06:00:00,Great Britain,Great Britain,GB,124.96,185.68,68.71,42.13, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 07:00:00,Great Britain,Great Britain,GB,147.9,216.12,61.76,38.75, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 08:00:00,Great Britain,Great Britain,GB,169.21,243.17,55.48,36.55, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 09:00:00,Great Britain,Great Britain,GB,174.65,250.32,54.21,38.01, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 10:00:00,Great Britain,Great Britain,GB,165.42,239.57,56.81,42.56, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 11:00:00,Great Britain,Great Britain,GB,162.39,236.48,57.48,44.14, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 12:00:00,Great Britain,Great Britain,GB,164.71,238.96,57.14,43.62, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 13:00:00,Great Britain,Great Britain,GB,168.25,242.82,55.9,41.1, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 14:00:00,Great Britain,Great Britain,GB,185.94,264.1,51.47,35.85, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 15:00:00,Great Britain,Great Britain,GB,201.96,283.71,47.7,31.89, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 16:00:00,Great Britain,Great Britain,GB,203.52,284.73,48.01,32.39, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 17:00:00,Great Britain,Great Britain,GB,209.53,290.74,47.55,32.94, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 18:00:00,Great Britain,Great Britain,GB,208.33,290.79,47.26,32.63, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 19:00:00,Great Britain,Great Britain,GB,205.16,290.09,47.36,31.83, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 20:00:00,Great Britain,Great Britain,GB,201.38,286.06,48.11,31.72, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 21:00:00,Great Britain,Great Britain,GB,194.57,277.95,50.36,32.87, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 22:00:00,Great Britain,Great Britain,GB,185.69,267.71,52.51,34.33, nationalgrideso.com; elexon.co.uk,false,
2024-01-06 23:00:00,Great Britain,Great Britain,GB,165.77,241.84,59.58,38.77, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 00:00:00,Great Britain,Great Britain,GB,148.17,219.79,64.52,42.38, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 01:00:00,Great Britain,Great Britain,GB,146.75,217.96,64.88,42.94, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 02:00:00,Great Britain,Great Britain,GB,141.75,211.79,66.53,43.96, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 03:00:00,Great Britain,Great Britain,GB,141.54,211.36,66.27,43.66, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 04:00:00,Great Britain,Great Britain,GB,134.11,201.48,68.64,45.59, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 05:00:00,Great Britain,Great Britain,GB,134.68,202.63,67.94,45.17, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 06:00:00,Great Britain,Great Britain,GB,135.44,203.8,67.39,44.95, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 07:00:00,Great Britain,Great Britain,GB,149.41,221.76,63.0,41.74, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 08:00:00,Great Britain,Great Britain,GB,158.5,231.52,60.47,40.73, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 09:00:00,Great Britain,Great Britain,GB,169.78,244.88,57.95,40.93, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 10:00:00,Great Britain,Great Britain,GB,168.15,242.63,58.44,43.42, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 11:00:00,Great Britain,Great Britain,GB,168.18,242.43,58.47,44.29, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 12:00:00,Great Britain,Great Britain,GB,173.95,249.7,56.87,42.7, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 13:00:00,Great Britain,Great Britain,GB,190.63,270.03,53.0,39.89, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 14:00:00,Great Britain,Great Britain,GB,192.13,271.39,52.25,36.46, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 15:00:00,Great Britain,Great Britain,GB,211.45,294.6,46.76,30.74, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 16:00:00,Great Britain,Great Britain,GB,218.08,304.14,45.07,29.77, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 17:00:00,Great Britain,Great Britain,GB,225.24,311.54,44.42,30.09, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 18:00:00,Great Britain,Great Britain,GB,221.15,307.63,44.97,30.51, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 19:00:00,Great Britain,Great Britain,GB,222.35,310.22,43.74,28.55, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 20:00:00,Great Britain,Great Britain,GB,217.11,304.05,44.33,28.09, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 21:00:00,Great Britain,Great Britain,GB,209.26,295.44,45.64,28.48, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 22:00:00,Great Britain,Great Britain,GB,201.54,285.66,47.7,29.41, nationalgrideso.com; elexon.co.uk,false,
2024-01-07 23:00:00,Great Britain,Great Britain,GB,180.19,254.29,53.76,32.32, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 00:00:00,Great Britain,Great Britain,GB,168.55,238.47,57.05,34.85, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 01:00:00,Great Britain,Great Britain,GB,166.03,234.82,57.77,35.9, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 02:00:00,Great Britain,Great Britain,GB,153.38,220.03,61.04,38.61, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 03:00:00,Great Britain,Great Britain,GB,146.59,209.49,62.83,40.3, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 04:00:00,Great Britain,Great Britain,GB,151.71,216.19,61.05,40.6, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 05:00:00,Great Britain,Great Britain,GB,176.4,250.02,53.99,39.9, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 06:00:00,Great Britain,Great Britain,GB,217.52,300.18,44.0,33.25, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 07:00:00,Great Britain,Great Britain,GB,233.71,323.14,40.51,31.49, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 08:00:00,Great Britain,Great Britain,GB,227.0,314.77,42.38,34.03, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 09:00:00,Great Britain,Great Britain,GB,209.93,292.36,46.91,37.62, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 10:00:00,Great Britain,Great Britain,GB,207.43,289.35,47.37,39.27, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 11:00:00,Great Britain,Great Britain,GB,203.72,284.47,48.37,40.54, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 12:00:00,Great Britain,Great Britain,GB,200.43,280.17,49.17,40.99, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 13:00:00,Great Britain,Great Britain,GB,200.83,280.86,48.83,40.86, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 14:00:00,Great Britain,Great Britain,GB,210.49,292.09,46.88,39.51, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 15:00:00,Great Britain,Great Britain,GB,212.52,294.95,46.05,38.61, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 16:00:00,Great Britain,Great Britain,GB,213.27,297.17,45.6,38.09, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 17:00:00,Great Britain,Great Britain,GB,215.7,299.05,45.93,38.51, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 18:00:00,Great Britain,Great Britain,GB,204.04,285.45,48.26,40.71, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 19:00:00,Great Britain,Great Britain,GB,206.22,288.43,47.33,39.5, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 20:00:00,Great Britain,Great Britain,GB,199.17,281.18,48.68,40.53, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 21:00:00,Great Britain,Great Britain,GB,175.51,254.92,53.37,44.46, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 22:00:00,Great Britain,Great Britain,GB,167.76,246.16,55.18,45.85, nationalgrideso.com; elexon.co.uk,false,
2024-01-08 23:00:00,Great Britain,Great Britain,GB,154.88,230.43,58.62,48.83, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 00:00:00,Great Britain,Great Britain,GB,153.31,227.43,58.97,48.96, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 01:00:00,Great Britain,Great Britain,GB,156.78,231.74,58.22,48.22, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 02:00:00,Great Britain,Great Britain,GB,153.94,228.19,59.02,48.88, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 03:00:00,Great Britain,Great Britain,GB,148.5,221.27,60.43,50.05, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 04:00:00,Great Britain,Great Britain,GB,155.01,228.85,58.74,48.89, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 05:00:00,Great Britain,Great Britain,GB,160.2,235.0,57.56,47.97, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 06:00:00,Great Britain,Great Britain,GB,179.71,257.58,52.86,44.21, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 07:00:00,Great Britain,Great Britain,GB,191.12,269.79,50.69,42.61, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 08:00:00,Great Britain,Great Britain,GB,186.67,263.23,52.16,44.69, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 09:00:00,Great Britain,Great Britain,GB,177.61,253.0,54.11,47.09, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 10:00:00,Great Britain,Great Britain,GB,161.77,234.33,58.0,52.08, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 11:00:00,Great Britain,Great Britain,GB,154.39,225.53,59.96,54.27, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 12:00:00,Great Britain,Great Britain,GB,152.17,223.07,60.46,54.9, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 13:00:00,Great Britain,Great Britain,GB,156.32,228.29,59.41,53.73, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 14:00:00,Great Britain,Great Britain,GB,172.24,248.11,55.1,49.05, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 15:00:00,Great Britain,Great Britain,GB,195.93,275.86,49.3,42.83, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 16:00:00,Great Britain,Great Britain,GB,207.58,289.73,46.96,40.36, nationalgrideso.com; elexon.co.uk,false,
2024-01-09 17:00:00,Great Britain,Great Britain,GB,219.11,302.0,44.99,38.38, nationalgrideso.com; elexon.co.uk,false,
