Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,New York ISO,US-NY-NYIS,189.96,252.79,56.09,30.66,nyiso.com,false,
2021-01-01 01:00:00,USA,New York ISO,US-NY-NYIS,184.53,246.37,57.14,30.99,nyiso.com,false,
2021-01-01 02:00:00,USA,New York ISO,US-NY-NYIS,177.85,237.33,59.25,31.5,nyiso.com,false,
2021-01-01 03:00:00,USA,New York ISO,US-NY-NYIS,163.33,219.22,62.76,33.19,nyiso.com,false,
2021-01-01 04:00:00,USA,New York ISO,US-NY-NYIS,158.12,212.15,64.39,33.18,nyiso.com,false,
2021-01-01 05:00:00,USA,New York ISO,US-NY-NYIS,157.51,211.18,64.68,32.59,nyiso.com,false,
2021-01-01 06:00:00,USA,New York ISO,US-NY-NYIS,155.18,208.38,64.95,30.97,nyiso.com,false,
2021-01-01 07:00:00,USA,New York ISO,US-NY-NYIS,147.63,198.64,67.02,31.72,nyiso.com,false,
2021-01-01 08:00:00,USA,New York ISO,US-NY-NYIS,148.13,199.65,66.6,31.43,nyiso.com,false,
2021-01-01 09:00:00,USA,New York ISO,US-NY-NYIS,148.9,200.93,66.25,31.89,nyiso.com,false,
2021-01-01 10:00:00,USA,New York ISO,US-NY-NYIS,150.2,202.86,65.61,31.68,nyiso.com,false,
2021-01-01 11:00:00,USA,New York ISO,US-NY-NYIS,149.36,201.97,65.7,32.9,nyiso.com,false,
2021-01-01 12:00:00,USA,New York ISO,US-NY-NYIS,149.81,202.65,65.49,33.65,nyiso.com,false,
2021-01-01 13:00:00,USA,New York ISO,US-NY-NYIS,154.86,209.28,64.2,34.21,nyiso.com,false,
2021-01-01 14:00:00,USA,New York ISO,US-NY-NYIS,158.28,213.31,63.55,33.79,nyiso.com,false,
2021-01-01 15:00:00,USA,New York ISO,US-NY-NYIS,155.85,210.61,63.92,34.43,nyiso.com,false,
2021-01-01 16:00:00,USA,New York ISO,US-NY-NYIS,160.91,217.46,62.33,34.0,nyiso.com,false,
2021-01-01 17:00:00,USA,New York ISO,US-NY-NYIS,160.18,216.23,62.67,33.76,nyiso.com,false,
2021-01-01 18:00:00,USA,New York ISO,US-NY-NYIS,160.35,216.9,62.33,33.89,nyiso.com,false,
2021-01-01 19:00:00,USA,New York ISO,US-NY-NYIS,164.11,221.04,61.68,33.08,nyiso.com,false,
2021-01-01 20:00:00,USA,New York ISO,US-NY-NYIS,164.96,222.5,61.16,33.18,nyiso.com,false,
2021-01-01 21:00:00,USA,New York ISO,US-NY-NYIS,174.74,234.55,59.01,32.46,nyiso.com,false,
2021-01-01 22:00:00,USA,New York ISO,US-NY-NYIS,185.71,248.28,56.45,31.6,nyiso.com,false,
2021-01-01 23:00:00,USA,New York ISO,US-NY-NYIS,181.92,243.16,57.59,32.02,nyiso.com,false,
2021-01-02 00:00:00,USA,New York ISO,US-NY-NYIS,177.26,237.3,58.69,32.64,nyiso.com,false,
2021-01-02 01:00:00,USA,New York ISO,US-NY-NYIS,169.24,227.67,60.28,33.58,nyiso.com,false,
2021-01-02 02:00:00,USA,New York ISO,US-NY-NYIS,165.36,222.44,61.4,33.15,nyiso.com,false,
2021-01-02 03:00:00,USA,New York ISO,US-NY-NYIS,162.75,219.06,62.07,32.61,nyiso.com,false,
2021-01-02 04:00:00,USA,New York ISO,US-NY-NYIS,167.4,223.93,61.32,30.04,nyiso.com,false,
2021-01-02 05:00:00,USA,New York ISO,US-NY-NYIS,153.25,206.14,65.08,32.81,nyiso.com,false,
2021-01-02 06:00:00,USA,New York ISO,US-NY-NYIS,143.63,194.46,67.21,34.23,nyiso.com,false,
2021-01-02 07:00:00,USA,New York ISO,US-NY-NYIS,141.71,191.9,67.58,33.56,nyiso.com,false,
2021-01-02 08:00:00,USA,New York ISO,US-NY-NYIS,136.64,185.69,68.57,33.86,nyiso.com,false,
2021-01-02 09:00:00,USA,New York ISO,US-NY-NYIS,135.54,184.32,68.83,34.11,nyiso.com,false,
2021-01-02 10:00:00,USA,New York ISO,US-NY-NYIS,141.35,191.41,67.64,34.14,nyiso.com,false,
2021-01-02 11:00:00,USA,New York ISO,US-NY-NYIS,143.51,194.48,67.05,34.74,nyiso.com,false,
2021-01-02 12:00:00,USA,New York ISO,US-NY-NYIS,145.83,197.79,66.47,35.9,nyiso.com,false,
2021-01-02 13:00:00,USA,New York ISO,US-NY-NYIS,152.63,206.76,64.72,35.86,nyiso.com,false,
2021-01-02 14:00:00,USA,New York ISO,US-NY-NYIS,156.11,211.13,63.84,35.48,nyiso.com,false,
2021-01-02 15:00:00,USA,New York ISO,US-NY-NYIS,156.81,211.52,64.01,35.37,nyiso.com,false,
2021-01-02 16:00:00,USA,New York ISO,US-NY-NYIS,154.48,208.96,64.27,35.52,nyiso.com,false,
2021-01-02 17:00:00,USA,New York ISO,US-NY-NYIS,151.55,205.0,65.27,36.01,nyiso.com,false,
2021-01-02 18:00:00,USA,New York ISO,US-NY-NYIS,152.5,206.32,64.9,35.32,nyiso.com,false,
2021-01-02 19:00:00,USA,New York ISO,US-NY-NYIS,159.49,215.15,63.17,34.04,nyiso.com,false,
2021-01-02 20:00:00,USA,New York ISO,US-NY-NYIS,162.3,218.68,62.43,33.87,nyiso.com,false,
2021-01-02 21:00:00,USA,New York ISO,US-NY-NYIS,169.09,226.93,60.88,32.85,nyiso.com,false,
2021-01-02 22:00:00,USA,New York ISO,US-NY-NYIS,181.59,242.54,57.81,31.24,nyiso.com,false,
2021-01-02 23:00:00,USA,New York ISO,US-NY-NYIS,185.34,247.05,57.04,30.69,nyiso.com,false,
2021-01-03 00:00:00,USA,New York ISO,US-NY-NYIS,181.73,242.76,57.79,31.19,nyiso.com,false,
2021-01-03 01:00:00,USA,New York ISO,US-NY-NYIS,175.65,235.73,58.88,31.81,nyiso.com,false,
2021-01-03 02:00:00,USA,New York ISO,US-NY-NYIS,169.81,228.79,60.07,32.31,nyiso.com,false,
2021-01-03 03:00:00,USA,New York ISO,US-NY-NYIS,167.43,225.47,60.91,32.07,nyiso.com,false,
2021-01-03 04:00:00,USA,New York ISO,US-NY-NYIS,164.46,221.26,61.91,31.32,nyiso.com,false,
2021-01-03 05:00:00,USA,New York ISO,US-NY-NYIS,161.05,217.16,62.66,31.41,nyiso.com,false,
2021-01-03 06:00:00,USA,New York ISO,US-NY-NYIS,154.93,209.18,64.26,31.09,nyiso.com,false,
2021-01-03 07:00:00,USA,New York ISO,US-NY-NYIS,149.26,202.08,65.64,31.8,nyiso.com,false,
2021-01-03 08:00:00,USA,New York ISO,US-NY-NYIS,146.92,198.84,66.35,31.65,nyiso.com,false,
2021-01-03 09:00:00,USA,New York ISO,US-NY-NYIS,149.35,202.05,65.81,32.62,nyiso.com,false,
2021-01-03 10:00:00,USA,New York ISO,US-NY-NYIS,148.33,201.08,65.63,31.92,nyiso.com,false,
2021-01-03 11:00:00,USA,New York ISO,US-NY-NYIS,151.13,204.65,64.83,31.53,nyiso.com,false,
2021-01-03 12:00:00,USA,New York ISO,US-NY-NYIS,154.78,209.29,63.91,31.99,nyiso.com,false,
2021-01-03 13:00:00,USA,New York ISO,US-NY-NYIS,157.96,213.44,63.1,32.68,nyiso.com,false,
2021-01-03 14:00:00,USA,New York ISO,US-NY-NYIS,162.0,218.47,62.11,32.47,nyiso.com,false,
2021-01-03 15:00:00,USA,New York ISO,US-NY-NYIS,166.99,224.83,60.86,32.6,nyiso.com,false,
2021-01-03 16:00:00,USA,New York ISO,US-NY-NYIS,168.37,226.94,60.32,32.87,nyiso.com,false,
2021-01-03 17:00:00,USA,New York ISO,US-NY-NYIS,172.44,231.73,59.54,32.33,nyiso.com,false,
2021-01-03 18:00:00,USA,New York ISO,US-NY-NYIS,180.38,241.7,57.68,31.37,nyiso.com,false,
2021-01-03 19:00:00,USA,New York ISO,US-NY-NYIS,181.27,242.24,57.85,30.91,nyiso.com,false,
2021-01-03 20:00:00,USA,New York ISO,US-NY-NYIS,183.96,245.86,57.05,30.66,nyiso.com,false,
2021-01-03 21:00:00,USA,New York ISO,US-NY-NYIS,190.41,253.48,55.72,29.41,nyiso.com,false,
2021-01-03 22:00:00,USA,New York ISO,US-NY-NYIS,192.17,255.77,55.2,29.36,nyiso.com,false,
2021-01-03 23:00:00,USA,New York ISO,US-NY-NYIS,191.43,255.08,55.23,29.65,nyiso.com,false,
2021-01-04 00:00:00,USA,New York ISO,US-NY-NYIS,189.9,253.53,55.4,30.13,nyiso.com,false,
2021-01-04 01:00:00,USA,New York ISO,US-NY-NYIS,189.24,253.12,55.3,30.22,nyiso.com,false,
2021-01-04 02:00:00,USA,New York ISO,US-NY-NYIS,179.32,240.48,57.89,31.13,nyiso.com,false,
2021-01-04 03:00:00,USA,New York ISO,US-NY-NYIS,171.01,229.96,59.99,31.93,nyiso.com,false,
2021-01-04 04:00:00,USA,New York ISO,US-NY-NYIS,162.17,218.68,62.28,32.11,nyiso.com,false,
2021-01-04 05:00:00,USA,New York ISO,US-NY-NYIS,154.29,208.66,64.25,32.21,nyiso.com,false,
2021-01-04 06:00:00,USA,New York ISO,US-NY-NYIS,148.38,201.36,65.54,31.94,nyiso.com,false,
2021-01-04 07:00:00,USA,New York ISO,US-NY-NYIS,145.94,197.88,66.48,32.24,nyiso.com,false,
2021-01-04 08:00:00,USA,New York ISO,US-NY-NYIS,146.32,198.25,66.37,31.55,nyiso.com,false,
2021-01-04 09:00:00,USA,New York ISO,US-NY-NYIS,148.99,201.75,65.64,31.68,nyiso.com,false,
2021-01-04 10:00:00,USA,New York ISO,US-NY-NYIS,157.31,212.45,63.4,30.92,nyiso.com,false,
2021-01-04 11:00:00,USA,New York ISO,US-NY-NYIS,167.89,226.19,60.43,29.95,nyiso.com,false,
2021-01-04 12:00:00,USA,New York ISO,US-NY-NYIS,183.57,246.16,56.57,30.01,nyiso.com,false,
2021-01-04 13:00:00,USA,New York ISO,US-NY-NYIS,193.62,257.91,54.73,29.1,nyiso.com,false,
2021-01-04 14:00:00,USA,New York ISO,US-NY-NYIS,198.1,263.09,53.95,28.59,nyiso.com,false,
2021-01-04 15:00:00,USA,New York ISO,US-NY-NYIS,196.15,261.22,54.07,29.11,nyiso.com,false,
2021-01-04 16:00:00,USA,New York ISO,US-NY-NYIS,196.14,261.08,54.17,29.04,nyiso.com,false,
2021-01-04 17:00:00,USA,New York ISO,US-NY-NYIS,193.16,257.16,55.07,29.47,nyiso.com,false,
2021-01-04 18:00:00,USA,New York ISO,US-NY-NYIS,189.01,252.04,56.02,29.93,nyiso.com,false,
2021-01-04 19:00:00,USA,New York ISO,US-NY-NYIS,185.23,247.92,56.49,30.4,nyiso.com,false,
2021-01-04 20:00:00,USA,New York ISO,US-NY-NYIS,188.33,251.35,55.98,29.57,nyiso.com,false,
2021-01-04 21:00:00,USA,New York ISO,US-NY-NYIS,192.31,255.64,55.45,29.01,nyiso.com,false,
2021-01-04 22:00:00,USA,New York ISO,US-NY-NYIS,198.88,263.75,53.94,28.71,nyiso.com,false,
2021-01-04 23:00:00,USA,New York ISO,US-NY-NYIS,201.9,267.76,53.04,28.05,nyiso.com,false,
2021-01-05 00:00:00,USA,New York ISO,US-NY-NYIS,202.13,268.19,52.91,28.11,nyiso.com,false,
2021-01-05 01:00:00,USA,New York ISO,US-NY-NYIS,198.39,263.85,53.61,28.7,nyiso.com,false,
2021-01-05 02:00:00,USA,New York ISO,US-NY-NYIS,191.54,255.01,55.46,29.18,nyiso.com,false,
2021-01-05 03:00:00,USA,New York ISO,US-NY-NYIS,180.07,240.39,58.46,30.4,nyiso.com,false,
2021-01-05 04:00:00,USA,New York ISO,US-NY-NYIS,169.9,227.76,60.83,30.61,nyiso.com,false,
2021-01-05 05:00:00,USA,New York ISO,US-NY-NYIS,165.28,221.8,62.01,30.08,nyiso.com,false,
2021-01-05 06:00:00,USA,New York ISO,US-NY-NYIS,163.56,219.07,62.82,29.71,nyiso.com,false,
2021-01-05 07:00:00,USA,New York ISO,US-NY-NYIS,158.71,213.3,63.79,30.12,nyiso.com,false,
2021-01-05 08:00:00,USA,New York ISO,US-NY-NYIS,160.15,214.67,63.68,29.62,nyiso.com,false,
2021-01-05 09:00:00,USA,New York ISO,US-NY-NYIS,160.62,215.56,63.23,28.82,nyiso.com,false,
2021-01-05 10:00:00,USA,New York ISO,US-NY-NYIS,165.21,221.79,61.81,29.11,nyiso.com,false,
2021-01-05 11:00:00,USA,New York ISO,US-NY-NYIS,173.32,232.41,59.61,29.71,nyiso.com,false,
2021-01-05 12:00:00,USA,New York ISO,US-NY-NYIS,181.73,243.3,57.46,30.46,nyiso.com,false,
2021-01-05 13:00:00,USA,New York ISO,US-NY-NYIS,195.65,259.66,54.88,29.18,nyiso.com,false,
2021-01-05 14:00:00,USA,New York ISO,US-NY-NYIS,196.4,260.36,54.91,29.41,nyiso.com,false,
2021-01-05 15:00:00,USA,New York ISO,US-NY-NYIS,196.45,260.8,54.61,29.28,nyiso.com,false,
2021-01-05 16:00:00,USA,New York ISO,US-NY-NYIS,194.74,258.72,54.96,29.33,nyiso.com,false,
2021-01-05 17:00:00,USA,New York ISO,US-NY-NYIS,196.32,261.04,54.36,29.31,nyiso.com,false,
2021-01-05 18:00:00,USA,New York ISO,US-NY-NYIS,195.15,259.65,54.59,29.61,nyiso.com,false,
2021-01-05 19:00:00,USA,New York ISO,US-NY-NYIS,193.89,258.0,54.94,29.72,nyiso.com,false,
2021-01-05 20:00:00,USA,New York ISO,US-NY-NYIS,193.17,257.11,55.07,29.75,nyiso.com,false,
2021-01-05 21:00:00,USA,New York ISO,US-NY-NYIS,198.25,262.97,54.13,28.8,nyiso.com,false,
2021-01-05 22:00:00,USA,New York ISO,US-NY-NYIS,203.5,269.06,53.17,28.21,nyiso.com,false,
2021-01-05 23:00:00,USA,New York ISO,US-NY-NYIS,202.68,268.43,53.11,28.43,nyiso.com,false,
2021-01-06 00:00:00,USA,New York ISO,US-NY-NYIS,200.62,265.66,53.72,28.27,nyiso.com,false,
2021-01-06 01:00:00,USA,New York ISO,US-NY-NYIS,192.05,256.4,54.81,29.7,nyiso.com,false,
2021-01-06 02:00:00,USA,New York ISO,US-NY-NYIS,187.07,250.11,56.05,29.79,nyiso.com,false,
2021-01-06 03:00:00,USA,New York ISO,US-NY-NYIS,180.23,241.84,57.52,30.4,nyiso.com,false,
2021-01-06 04:00:00,USA,New York ISO,US-NY-NYIS,166.35,224.34,60.98,31.39,nyiso.com,false,
2021-01-06 05:00:00,USA,New York ISO,US-NY-NYIS,161.3,217.02,62.87,31.13,nyiso.com,false,
2021-01-06 06:00:00,USA,New York ISO,US-NY-NYIS,158.38,213.03,63.83,31.22,nyiso.com,false,
2021-01-06 07:00:00,USA,New York ISO,US-NY-NYIS,157.57,212.16,63.84,30.54,nyiso.com,false,
2021-01-06 08:00:00,USA,New York ISO,US-NY-NYIS,156.52,210.32,64.43,30.34,nyiso.com,false,
2021-01-06 09:00:00,USA,New York ISO,US-NY-NYIS,157.69,211.95,64.02,30.27,nyiso.com,false,
2021-01-06 10:00:00,USA,New York ISO,US-NY-NYIS,162.94,218.56,62.74,30.02,nyiso.com,false,
2021-01-06 11:00:00,USA,New York ISO,US-NY-NYIS,170.03,227.77,60.86,30.65,nyiso.com,false,
2021-01-06 12:00:00,USA,New York ISO,US-NY-NYIS,183.91,244.67,57.94,30.46,nyiso.com,false,
2021-01-06 13:00:00,USA,New York ISO,US-NY-NYIS,190.97,253.42,56.27,29.74,nyiso.com,false,
2021-01-06 14:00:00,USA,New York ISO,US-NY-NYIS,192.21,254.96,55.95,29.37,nyiso.com,false,
2021-01-06 15:00:00,USA,New York ISO,US-NY-NYIS,191.26,253.86,56.11,29.59,nyiso.com,false,
2021-01-06 16:00:00,USA,New York ISO,US-NY-NYIS,190.74,253.18,56.27,29.71,nyiso.com,false,
2021-01-06 17:00:00,USA,New York ISO,US-NY-NYIS,190.09,252.21,56.55,29.81,nyiso.com,false,
2021-01-06 18:00:00,USA,New York ISO,US-NY-NYIS,189.96,252.14,56.51,29.84,nyiso.com,false,
2021-01-06 19:00:00,USA,New York ISO,US-NY-NYIS,188.37,250.01,56.97,30.15,nyiso.com,false,
2021-01-06 20:00:00,USA,New York ISO,US-NY-NYIS,188.94,251.56,56.26,30.52,nyiso.com,false,
2021-01-06 21:00:00,USA,New York ISO,US-NY-NYIS,194.06,257.56,55.31,30.03,nyiso.com,false,
2021-01-06 22:00:00,USA,New York ISO,US-NY-NYIS,200.48,265.11,54.1,29.61,nyiso.com,false,
2021-01-06 23:00:00,USA,New York ISO,US-NY-NYIS,199.15,264.05,53.95,29.74,nyiso.com,false,
2021-01-07 00:00:00,USA,New York ISO,US-NY-NYIS,197.04,261.17,54.59,29.8,nyiso.com,false,
2021-01-07 01:00:00,USA,New York ISO,US-NY-NYIS,191.06,254.59,55.37,30.45,nyiso.com,false,
2021-01-07 02:00:00,USA,New York ISO,US-NY-NYIS,187.32,249.99,56.21,30.42,nyiso.com,false,
2021-01-07 03:00:00,USA,New York ISO,US-NY-NYIS,176.45,236.17,59.05,31.75,nyiso.com,false,
2021-01-07 04:00:00,USA,New York ISO,US-NY-NYIS,169.71,227.6,60.7,31.51,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-07 05:00:00,USA,New York ISO,US-NY-NYIS,161.99,217.51,62.77,31.27,nyiso.com; Electricity Maps Estimation,false,
2021-01-07 06:00:00,USA,New York ISO,US-NY-NYIS,155.35,208.91,64.59,31.77,nyiso.com,false,
2021-01-07 07:00:00,USA,New York ISO,US-NY-NYIS,155.37,208.95,64.58,31.49,nyiso.com,false,
2021-01-07 08:00:00,USA,New York ISO,US-NY-NYIS,156.04,209.67,64.5,31.3,nyiso.com,false,
2021-01-07 09:00:00,USA,New York ISO,US-NY-NYIS,155.17,208.81,64.49,31.4,nyiso.com,false,
2021-01-07 10:00:00,USA,New York ISO,US-NY-NYIS,162.12,218.11,62.33,30.79,nyiso.com,false,
2021-01-07 11:00:00,USA,New York ISO,US-NY-NYIS,170.42,228.54,60.44,31.45,nyiso.com,false,
2021-01-07 12:00:00,USA,New York ISO,US-NY-NYIS,177.41,236.79,59.21,31.59,nyiso.com,false,
2021-01-07 13:00:00,USA,New York ISO,US-NY-NYIS,185.1,246.03,57.64,31.03,nyiso.com,false,
2021-01-07 14:00:00,USA,New York ISO,US-NY-NYIS,184.28,245.01,57.88,31.23,nyiso.com,false,
2021-01-07 15:00:00,USA,New York ISO,US-NY-NYIS,182.16,242.39,58.39,31.41,nyiso.com,false,
2021-01-07 16:00:00,USA,New York ISO,US-NY-NYIS,182.63,242.94,58.34,31.38,nyiso.com,false,
2021-01-07 17:00:00,USA,New York ISO,US-NY-NYIS,179.44,238.45,59.48,31.72,nyiso.com,false,
2021-01-07 18:00:00,USA,New York ISO,US-NY-NYIS,179.22,238.21,59.5,31.73,nyiso.com,false,
2021-01-07 19:00:00,USA,New York ISO,US-NY-NYIS,180.34,239.42,59.33,31.39,nyiso.com,false,
2021-01-07 20:00:00,USA,New York ISO,US-NY-NYIS,182.25,242.2,58.54,31.24,nyiso.com,false,
2021-01-07 21:00:00,USA,New York ISO,US-NY-NYIS,186.76,248.42,56.98,30.71,nyiso.com,false,
2021-01-07 22:00:00,USA,New York ISO,US-NY-NYIS,200.21,264.1,54.53,29.31,nyiso.com,false,
2021-01-07 23:00:00,USA,New York ISO,US-NY-NYIS,198.36,262.29,54.61,29.69,nyiso.com,false,
2021-01-08 00:00:00,USA,New York ISO,US-NY-NYIS,197.23,261.45,54.44,29.43,nyiso.com,false,
2021-01-08 01:00:00,USA,New York ISO,US-NY-NYIS,194.81,258.07,55.28,29.55,nyiso.com,false,
2021-01-08 02:00:00,USA,New York ISO,US-NY-NYIS,188.36,250.26,56.65,30.03,nyiso.com,false,
2021-01-08 03:00:00,USA,New York ISO,US-NY-NYIS,180.91,240.95,58.49,30.59,nyiso.com,false,
2021-01-08 04:00:00,USA,New York ISO,US-NY-NYIS,179.56,239.17,58.83,29.51,nyiso.com,false,
2021-01-08 05:00:00,USA,New York ISO,US-NY-NYIS,169.31,226.98,60.96,30.93,nyiso.com,false,
2021-01-08 06:00:00,USA,New York ISO,US-NY-NYIS,162.42,217.98,62.86,31.19,nyiso.com,false,
2021-01-08 07:00:00,USA,New York ISO,US-NY-NYIS,160.54,215.73,63.23,31.19,nyiso.com,false,
2021-01-08 08:00:00,USA,New York ISO,US-NY-NYIS,161.67,217.2,62.87,30.77,nyiso.com,false,
2021-01-08 09:00:00,USA,New York ISO,US-NY-NYIS,164.96,221.0,62.27,30.15,nyiso.com,false,
2021-01-08 10:00:00,USA,New York ISO,US-NY-NYIS,171.38,229.5,60.36,29.58,nyiso.com,false,
2021-01-08 11:00:00,USA,New York ISO,US-NY-NYIS,178.37,238.38,58.65,30.15,nyiso.com,false,
2021-01-08 12:00:00,USA,New York ISO,US-NY-NYIS,184.75,246.7,56.93,30.52,nyiso.com,false,
2021-01-08 13:00:00,USA,New York ISO,US-NY-NYIS,191.23,254.49,55.58,29.91,nyiso.com,false,
2021-01-08 14:00:00,USA,New York ISO,US-NY-NYIS,190.39,253.38,55.87,30.13,nyiso.com,false,
2021-01-08 15:00:00,USA,New York ISO,US-NY-NYIS,190.09,253.0,55.99,30.27,nyiso.com,false,
2021-01-08 16:00:00,USA,New York ISO,US-NY-NYIS,187.65,249.82,56.68,30.43,nyiso.com,false,
2021-01-08 17:00:00,USA,New York ISO,US-NY-NYIS,189.16,251.86,56.17,29.99,nyiso.com,false,
2021-01-08 18:00:00,USA,New York ISO,US-NY-NYIS,187.36,249.83,56.39,29.93,nyiso.com,false,
2021-01-08 19:00:00,USA,New York ISO,US-NY-NYIS,187.97,250.41,56.38,29.94,nyiso.com,false,
2021-01-08 20:00:00,USA,New York ISO,US-NY-NYIS,189.37,252.22,55.96,29.81,nyiso.com,false,
2021-01-08 21:00:00,USA,New York ISO,US-NY-NYIS,192.3,255.63,55.39,29.47,nyiso.com,false,
2021-01-08 22:00:00,USA,New York ISO,US-NY-NYIS,199.16,263.23,54.44,29.32,nyiso.com,false,
2021-01-08 23:00:00,USA,New York ISO,US-NY-NYIS,197.01,261.11,54.59,29.95,nyiso.com,false,
2021-01-09 00:00:00,USA,New York ISO,US-NY-NYIS,198.11,261.63,54.92,29.67,nyiso.com,false,
2021-01-09 01:00:00,USA,New York ISO,US-NY-NYIS,196.75,260.14,55.07,29.44,nyiso.com,false,
2021-01-09 02:00:00,USA,New York ISO,US-NY-NYIS,194.4,257.82,55.24,29.72,nyiso.com,false,
2021-01-09 03:00:00,USA,New York ISO,US-NY-NYIS,182.74,243.19,58.12,31.14,nyiso.com,false,
2021-01-09 04:00:00,USA,New York ISO,US-NY-NYIS,172.45,231.09,60.09,32.34,nyiso.com,false,
2021-01-09 05:00:00,USA,New York ISO,US-NY-NYIS,160.87,215.54,63.52,32.72,nyiso.com,false,
2021-01-09 06:00:00,USA,New York ISO,US-NY-NYIS,158.59,212.24,64.34,32.14,nyiso.com,false,
2021-01-09 07:00:00,USA,New York ISO,US-NY-NYIS,156.95,210.2,64.64,31.65,nyiso.com,false,
2021-01-09 08:00:00,USA,New York ISO,US-NY-NYIS,153.94,206.95,65.02,31.97,nyiso.com,false,
2021-01-09 09:00:00,USA,New York ISO,US-NY-NYIS,158.96,212.58,64.21,30.95,nyiso.com,false,
2021-01-09 10:00:00,USA,New York ISO,US-NY-NYIS,156.77,210.22,64.5,32.11,nyiso.com,false,
2021-01-09 11:00:00,USA,New York ISO,US-NY-NYIS,156.84,210.96,64.07,33.07,nyiso.com,false,
2021-01-09 12:00:00,USA,New York ISO,US-NY-NYIS,161.3,216.81,62.88,33.33,nyiso.com,false,
2021-01-09 13:00:00,USA,New York ISO,US-NY-NYIS,168.36,224.84,61.72,32.47,nyiso.com,false,
2021-01-09 14:00:00,USA,New York ISO,US-NY-NYIS,178.07,237.14,59.41,31.54,nyiso.com,false,
2021-01-09 15:00:00,USA,New York ISO,US-NY-NYIS,181.13,240.96,58.74,31.06,nyiso.com,false,
2021-01-09 16:00:00,USA,New York ISO,US-NY-NYIS,182.24,242.35,58.48,30.61,nyiso.com,false,
2021-01-09 17:00:00,USA,New York ISO,US-NY-NYIS,181.03,240.6,58.94,30.61,nyiso.com,false,
2021-01-09 18:00:00,USA,New York ISO,US-NY-NYIS,175.5,233.4,60.57,31.97,nyiso.com,false,
2021-01-09 19:00:00,USA,New York ISO,US-NY-NYIS,176.93,235.05,60.21,31.17,nyiso.com,false,
2021-01-09 20:00:00,USA,New York ISO,US-NY-NYIS,177.8,236.57,59.66,31.48,nyiso.com,false,
2021-01-09 21:00:00,USA,New York ISO,US-NY-NYIS,183.92,244.91,57.75,32.01,nyiso.com,false,
2021-01-09 22:00:00,USA,New York ISO,US-NY-NYIS,189.33,250.87,56.89,31.63,nyiso.com,false,
2021-01-09 23:00:00,USA,New York ISO,US-NY-NYIS,188.84,250.66,56.63,31.26,nyiso.com,false,
2021-01-10 00:00:00,USA,New York ISO,US-NY-NYIS,191.61,253.54,56.31,30.02,nyiso.com,false,
2021-01-10 01:00:00,USA,New York ISO,US-NY-NYIS,188.54,250.34,56.66,30.5,nyiso.com,false,
2021-01-10 02:00:00,USA,New York ISO,US-NY-NYIS,188.85,250.59,56.71,29.96,nyiso.com,false,
2021-01-10 03:00:00,USA,New York ISO,US-NY-NYIS,180.56,240.17,58.76,30.26,nyiso.com,false,
2021-01-10 04:00:00,USA,New York ISO,US-NY-NYIS,170.3,227.14,61.38,30.75,nyiso.com,false,
2021-01-10 05:00:00,USA,New York ISO,US-NY-NYIS,168.41,223.49,62.6,29.08,nyiso.com,false,
2021-01-10 06:00:00,USA,New York ISO,US-NY-NYIS,164.86,218.64,63.64,28.41,nyiso.com,false,
2021-01-10 07:00:00,USA,New York ISO,US-NY-NYIS,161.12,214.14,64.41,28.65,nyiso.com,false,
2021-01-10 08:00:00,USA,New York ISO,US-NY-NYIS,166.12,220.59,63.04,27.63,nyiso.com,false,
2021-01-10 09:00:00,USA,New York ISO,US-NY-NYIS,168.49,223.47,62.55,27.42,nyiso.com,false,
2021-01-10 10:00:00,USA,New York ISO,US-NY-NYIS,168.04,222.93,62.63,27.48,nyiso.com,false,
2021-01-10 11:00:00,USA,New York ISO,US-NY-NYIS,169.21,224.26,62.4,27.35,nyiso.com,false,
2021-01-10 12:00:00,USA,New York ISO,US-NY-NYIS,170.89,227.12,61.7,29.67,nyiso.com,false,
2021-01-10 13:00:00,USA,New York ISO,US-NY-NYIS,175.88,233.86,60.26,29.98,nyiso.com,false,
2021-01-10 14:00:00,USA,New York ISO,US-NY-NYIS,182.48,241.88,58.94,29.8,nyiso.com,false,
2021-01-10 15:00:00,USA,New York ISO,US-NY-NYIS,181.03,240.33,59.07,29.66,nyiso.com,false,
2021-01-10 16:00:00,USA,New York ISO,US-NY-NYIS,174.08,231.55,60.87,31.15,nyiso.com,false,
2021-01-10 17:00:00,USA,New York ISO,US-NY-NYIS,174.59,232.42,60.57,30.9,nyiso.com,false,
2021-01-10 18:00:00,USA,New York ISO,US-NY-NYIS,174.04,232.34,60.24,30.83,nyiso.com,false,
2021-01-10 19:00:00,USA,New York ISO,US-NY-NYIS,174.96,233.57,59.95,30.76,nyiso.com,false,
2021-01-10 20:00:00,USA,New York ISO,US-NY-NYIS,182.1,242.39,58.31,30.22,nyiso.com,false,
2021-01-10 21:00:00,USA,New York ISO,US-NY-NYIS,184.36,244.98,57.88,30.09,nyiso.com,false,
